bigram,comfort_score,uncertainty,first_char,second_char
df,-0.303622222503378,0.103360950681841,d,f
sf,-0.403931569164149,0.137814750175342,s,f
af,-0.501394736176684,0.172270583017026,a,f
sd,-0.505995162799313,0.172268253774985,s,d
ad,-0.583064273372992,0.206769849621588,a,d
as,-0.650762822505242,0.241405845510056,a,s
fr,-0.720570667424462,0.546523296570882,f,r
rf,-0.732642644958102,0.546517345744726,r,f
er,-0.742234262066133,0.221547356223417,e,r
ed,-0.803992033079831,0.563243972972792,e,d
de,-0.830901539991323,0.56314260263867,d,e
fd,-0.851344413798321,0.236099703290038,f,d
ef,-0.8791766686153,0.362646389482381,e,f
fs,-0.919946474562436,0.261004947123005,f,s
we,-0.945625654088377,0.251561742089097,w,e
dv,-0.970903420457208,0.380794884542374,d,v
fa,-0.978308231361694,0.289905697687947,f,a
ds,-0.980826278235047,0.289902930486026,d,s
wr,-0.985843948672491,0.247285464820159,w,r
ws,-1.02678642711177,0.630905470742573,w,s
sw,-1.02755746608982,0.63090539212045,s,w
da,-1.04810773412903,0.321713849466639,d,a
vf,-1.05095402612375,0.518497323056465,v,f
fv,-1.0509557843529,0.518497323056154,f,v
dr,-1.09556443850849,0.434373316029109,d,r
re,-1.10264437687856,0.321847067408071,r,e
wd,-1.10587091525417,0.419706372760548,w,d
sa,-1.11257727848148,0.355662469834288,s,a
wf,-1.16296402370978,0.308537485053163,w,f
aq,-1.19106182217359,0.75178151679708,a,q
qa,-1.19120140166824,0.751781516308642,q,a
sc,-1.20211939203459,0.470593195140415,s,c
qe,-1.20588874909743,0.31206095158577,q,e
qr,-1.22407664088575,0.346446080689401,q,r
ar,-1.23448021976552,0.367786080490296,a,r
dc,-1.25962078250545,0.587748832118294,d,c
cd,-1.25964000695096,0.587748831947762,c,d
qf,-1.26026858038039,0.363027614623751,q,f
ew,-1.2787057201938,0.359633964597074,e,w
cv,-1.29169516513418,0.357529487609501,c,v
se,-1.29583736649597,0.461507750868099,s,e
rv,-1.29774056276271,0.769856217443913,r,v
vr,-1.3023048653249,0.769855760887677,v,r
sv,-1.31330263115437,0.340713298797168,s,v
qw,-1.31488656439456,0.347754060001766,q,w
rw,-1.31917690474416,0.347527943594194,r,w
vd,-1.31962456431391,0.446786138292453,v,d
fe,-1.32176965649871,0.423042198510736,f,e
av,-1.33344482323808,0.369417781338611,a,v
sr,-1.35007339867965,0.351664422032772,s,r
qs,-1.35527236844675,0.528118579063848,q,s
xv,-1.42585068273494,0.387134697928439,x,v
ev,-1.43215086693125,0.603286343103733,e,v
zv,-1.43305452922779,0.405003567064189,z,v
xs,-1.43902725604281,0.656217057754565,x,s
sx,-1.43903033456003,0.656217057754143,s,x
vc,-1.43906335910415,0.459457538467095,v,c
zf,-1.44919808137441,0.377601586867251,z,f
cf,-1.45891495943287,0.491472565042052,c,f
ce,-1.46659910598171,0.837638430934767,c,e
qd,-1.47210191593165,0.412859472814341,q,d
ec,-1.47821780064267,0.837621246802982,e,c
ax,-1.48039512137634,0.550180414569494,a,x
ae,-1.50041457429011,0.393988905358501,a,e
eq,-1.50352550618924,0.413919915587253,e,q
dw,-1.5054114912245,0.48316126376048,d,w
cs,-1.52771539540289,0.53621346630366,c,s
rd,-1.53615405735136,0.485934498688669,r,d
rq,-1.54080769677225,0.431387580209551,r,q
aw,-1.54163289428312,0.53846663528512,a,w
vx,-1.57500608493386,0.490901076994964,v,x
vz,-1.58374669305737,0.514989551468285,v,z
fw,-1.58674050281653,0.383340367612072,f,w
za,-1.59526854334529,0.709764216405218,z,a
az,-1.5961382396247,0.709764166948652,a,z
wq,-1.60100419406773,0.451872809615925,w,q
xf,-1.60653265901,0.392573352353751,x,f
ac,-1.60966454594,0.445497674790121,a,c
ve,-1.64150575603254,0.656201033609667,v,e
vs,-1.64547867836795,0.419179242122107,v,s
va,-1.65457216615285,0.450040635071146,v,a
fq,-1.66011957925626,0.434833771132457,f,q
ra,-1.66030208328532,0.438699878289004,r,a
wc,-1.66595425935359,0.733710386977923,w,c
es,-1.66851180113639,0.520015641858057,e,s
xc,-1.68567502117023,0.469881523324928,x,c
xd,-1.68811662384909,0.558418246383967,x,d
zc,-1.69451995762149,0.461369344145627,z,c
sq,-1.70696458812267,0.59242355762349,s,q
xw,-1.71774836437994,0.93971953947784,x,w
wx,-1.71776289810251,0.939719539473961,w,x
rs,-1.747700259533,0.41886196831566,r,s
xa,-1.76579431935529,0.6212525370191,x,a
fz,-1.7659924431106,0.456785853319874,f,z
zd,-1.76711663368691,0.441093950387731,z,d
fc,-1.80644029930579,0.544204414149563,f,c
wv,-1.81174979886824,0.590751648174645,w,v
cr,-1.81697113800512,0.825739969447975,c,r
zx,-1.82879663094287,0.503789768032725,z,x
ea,-1.83133934894293,0.468353800136823,e,a
cx,-1.83812082830454,0.567428314597637,c,x
cz,-1.84681488216327,0.571281745261177,c,z
dq,-1.84806973071196,0.484264006352044,d,q
wa,-1.87209838315849,0.601684277568759,w,a
qv,-1.87623819537278,0.666733917621902,q,v
cw,-1.89972797206744,0.786786471902202,c,w
zs,-1.90490692714871,0.609105595095814,z,s
ca,-1.90508876953519,0.521946750718306,c,a
zq,-1.92546106301577,1.06638096767887,z,q
qz,-1.92546322355857,1.06638096767879,q,z
fx,-1.93878636998007,0.462319718051124,f,x
qx,-1.95774647508131,0.960789103274831,q,x
xz,-1.98279155105139,0.617947537933168,x,z
dx,-2.0049075010653,0.614736769099916,d,x
vw,-2.05232788099303,0.649408890357338,v,w
rc,-2.06626383560363,0.865101449561105,r,c
dz,-2.06857016936038,0.518180520658533,d,z
zr,-2.09291523458439,0.688447272423721,z,r
vq,-2.10997717897181,0.724731769263741,v,q
qc,-2.15445994440111,0.830216662353211,q,c
xq,-2.1777835033746,1.01244162823027,x,q
sz,-2.19102737644388,0.673992415235999,s,z
xe,-2.20665895883219,0.823047678544287,x,e
xr,-2.2545133301644,0.76186181044782,x,r
rz,-2.32662323048189,0.744756112720708,r,z
cq,-2.38099438670087,0.882999272643915,c,q
ex,-2.42756954422931,0.87069865197485,e,x
ze,-2.44215133805918,0.750731882355639,z,e
zw,-2.47204113327345,0.913652629394244,z,w
rx,-2.49501632836725,0.808194169413021,r,x
ez,-2.67206486519095,0.808718742559561,e,z
wz,-2.6921121072944,0.967824093924716,w,z
